y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
1,38,0.44621361912003077,0.5033081834190226,0.7351573764501921,0.0,0.0,0.0,0.0,4839.910722965375,8065.811360523105,0.23909283289685845,-0.0025895237387976167,0.2349832688123742,-0.00868996949435541,5.229658996309809,,,True,True,True,True,-84.82776994561445,25.398118516398284
1,40,0.12002659609685817,0.3840248546487234,0.5565242191022685,0.0,0.0,0.0,0.0,4864.583745537326,8076.002832308412,0.2559969793073833,-0.0026166488447616487,0.24329745402361505,-0.008659317482567985,5.08317466632252,,,True,True,True,True,-83.2422317670809,25.276361281205556
2,41,0.06792612218009846,0.34152913317609923,0.4932522185870611,0.0,0.0,0.0,0.0,4776.068273387849,8003.504619130865,0.1145863576819579,-0.005891884554667826,0.16464828577526738,-0.008269131922101991,7.514457084605965,,,True,True,True,True,-82.37043877933617,25.926275722414612
2,43,0.07901697963520132,0.35233726441329105,0.5093238006576152,0.0,0.0,0.0,0.0,4792.556382663548,8024.005068330094,0.15665088417830475,-0.004625232522915468,0.1888030801649993,-0.008439181725311329,6.690562301486352,,,True,True,True,True,-80.77949735625285,25.766786337856825
3,39,2.5101803504291427,0.7184017560019559,1.0602656347320156,0.0,0.0,1.0602656347320156,0.0,4805.058550000191,7905.68102552183,0.0862580683987062,-0.007808786560529413,0.10422434226163145,-0.007094302597471014,15.566492261972598,,,True,True,False,True,-83.8981638456601,26.784357357478733
4,39,0.024107793406569922,0.27590057622997516,0.39599948655567613,0.0,0.0,0.0,0.0,4756.330078125,7879.37890625,0.1305810660123825,-0.0067656319588422775,0.10181943300338654,-0.007053673267364502,19.2849063873291,,,True,True,True,True,-83.82826714666858,27.508657316530144
4,41,0.19542174212978347,0.4245888488591871,0.6171112898451435,0.0,0.0,0.0,0.0,4770.668303400278,7883.4487394001335,0.12191554088903445,-0.0070048711416443865,0.10079007485526038,-0.006923848190444559,18.896289320146025,,,True,True,True,True,-82.20464111249554,27.37050599944978
5,39,0.00994912491712267,0.22991740897105187,0.3282521931538864,0.0,0.0,0.0,0.0,4724.562840150669,7801.421081718057,0.1341291415608339,-0.007350210644533561,0.10748419782425293,-0.0077157405066916596,14.385071676901134,,,True,True,True,True,-83.75715700504763,28.234321486458906
5,40,0.05496381743816853,0.32695200844922256,0.4715997230991738,0.0,0.0,0.0,0.0,4734.2274403087795,7817.695597447455,0.1318345747336025,-0.0074752904997801295,0.1078213281998665,-0.007723932486751295,13.837964959893725,,,True,True,True,True,-82.93769119788615,28.167653546201528
5,41,0.14594655098722406,0.39980857156046273,0.580077919315022,0.0,0.0,0.0,0.0,4741.475832821801,7829.901387240738,0.13011366328987606,-0.007569099645680311,0.10807417397212114,-0.007730076422967969,13.42763818315143,,,True,True,True,True,-82.11959058937651,28.094709857829912
6,39,0.0006165134833253765,0.1296451700936977,0.1820308796817113,0.0,0.0,0.0,0.0,4680.817309707403,7624.671809010208,0.13887715223245323,-0.005209609070639942,0.09744939956960133,-0.007657257996577016,14.947808472075849,,,True,True,True,True,-83.68480162782176,28.96124607716447
6,40,0.25889446077132927,0.4499160216341653,0.6550270965897579,0.0,0.0,0.0,0.0,4682.426279760897,7640.8269581813365,0.13923054264159873,-0.0054357933291218075,0.09861536401510779,-0.007661413427785035,15.10633302387214,,,True,True,True,True,-82.85822807374113,28.893878119386205
6,41,0.006937409922055542,0.2134591747636227,0.30409626131924344,0.0,0.0,0.0,0.0,4684.571590214968,7662.367328263819,0.1397017335984856,-0.00573737473718694,0.10016999563089689,-0.007666954046761987,15.317700772735407,,,True,True,True,True,-82.03305571721053,28.820168666994945
7,14,139.9126289145213,1.644654567253959,2.4865597959741743,1.644654567253959,0.0,2.4865597959741743,2.4865597959741743,4654.928096473217,7556.024197638035,0.13699452462606132,-0.005141401415130531,0.08983499517078991,-0.007607521526381333,15.520028897270095,,,False,True,False,False,-104.5422261127833,29.285111541324614
7,40,0.8027015559539925,0.5680235165052071,0.8326120871212257,0.0,0.0,0.0,0.0,4622.364081136882,7507.124405480921,0.13688025556859884,-0.00575683599171839,0.08116358850194126,-0.007553089361209686,15.303321184190281,,,True,True,True,True,-82.77736353993393,29.62125505156339
8,34,0.07829403832296469,0.3516707774332219,0.5083323211735409,0.0,0.0,0.0,0.0,4513.4202719554305,7458.846449881792,0.1496541839510428,-0.006319992083515302,0.06943329993515132,-0.007468956627683099,15.406835763460549,,,True,True,True,True,-87.759604890486,30.664623835916345
8,38,0.12256585349239238,0.385684589334176,0.558999698646758,0.0,0.0,0.0,0.0,4534.2920171916485,7464.943428322673,0.14565969582247362,-0.0066179084624309326,0.07033143743724639,-0.007632087433954382,14.556581205135444,,,True,True,True,True,-84.37873170772602,30.480735499584487
8,40,0.1676649742911549,0.41139905896422646,0.5973914719815913,0.0,0.0,0.0,0.0,4547.912426561117,7474.083310350776,0.14418875318153823,-0.006875256354760495,0.07044344413028994,-0.00759285549252553,14.082262136536883,,,True,True,True,True,-82.69506031546844,30.349677190869617
8,42,0.039661320905858534,0.3056974446285966,0.4400794427249462,0.0,0.0,0.0,0.0,4561.532835930586,7483.223192378879,0.14271781054060284,-0.0071326042470900575,0.07055545082333348,-0.007553623551096678,13.607943067938322,,,True,True,True,True,-81.01729581460343,30.192725927333633
9,40,0.021086093305868317,0.26839311576705743,0.3849146309686254,0.0,0.0,0.0,0.0,4473.619667571038,7440.543015558273,0.15878994539355062,-0.005891381214029323,0.0671139492567314,-0.007250608835759564,16.88456354624941,,,True,True,True,True,-82.61127978962114,31.079035730625886
9,42,0.7669907478292424,0.5627233498578897,0.8246178806171875,0.0,0.0,0.0,0.0,4482.66559644416,7451.060661777854,0.15580376030652587,-0.005895620292323045,0.0679998261275053,-0.00719476090148774,16.678388968703075,,,True,True,True,True,-80.91866410472794,30.920470832480316
9,43,0.01246250440550615,0.24083681073302232,0.3443067761472997,0.0,0.0,0.0,0.0,4492.1285561695695,7453.456284493208,0.15391158643660674,-0.006026195988599881,0.06844089418248162,-0.007279128662510459,16.2871425461708,,,True,True,True,True,-80.07495963547528,30.831432424104765
