y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
6,24,3.260664310053083,0.7581745899500453,1.1207226059832474,0.0,0.0,1.1207226059832474,0.0,4260.474940624088,7162.564958084375,0.22945417783921584,-0.0037742149562269844,0.1593491608901617,-0.008974216859940043,21.129561949463096,,,True,True,False,True,-96.16566475243769,29.202377129357835
6,25,10.079034359420856,0.9566046094987233,1.4236461347474834,0.0,0.0,1.4236461347474834,0.0,4257.362010000274,7153.199604371563,0.2264970978430938,-0.003737656646054077,0.1571339399336223,-0.008983013691334918,21.16709702947992,,,True,True,False,True,-95.33330912829986,29.231368739068206
6,27,29.03638457717436,1.1895818620905412,1.7816445329183155,1.1895818620905412,0.0,1.7816445329183155,0.0,4254.249079376459,7143.8342506587505,0.22354001784697175,-0.00370109833588117,0.15491871897708284,-0.008991810522729793,21.204632109496742,,,False,True,False,True,-93.66717328974153,29.270042879216067
6,28,2.2762041225853267,0.7040664969645501,1.0384988421415253,0.0,0.0,1.0384988421415253,0.0,4254.249079376459,7143.8342506587505,0.22354001784697175,-0.00370109833588117,0.15491871897708284,-0.008991810522729793,21.204632109496742,,,True,True,False,True,-92.83365153098963,29.279714747954493
6,31,0.25978150863591243,0.45023314850236806,0.6555022501014035,0.0,0.0,0.0,0.0,4254.249079376459,7143.8342506587505,0.22354001784697175,-0.00370109833588117,0.15491871897708284,-0.008991810522729793,21.204632109496742,,,True,True,True,True,-90.33282671025843,29.270042879216067
7,14,290.5988523783759,1.9119067781641192,2.9033242849719474,1.9119067781641192,0.0,2.9033242849719474,2.9033242849719474,4254.249079376459,7143.8342506587505,0.22354001784697175,-0.00370109833588117,0.15491871897708284,-0.008991810522729793,21.204632109496742,,,False,True,False,False,-104.5422261127833,29.285111541324614
7,27,0.08825834108893371,0.36045732641451894,0.5214077261882487,0.0,0.0,0.0,0.0,4191.1044921875,7013.822265625,0.17920704185962677,-0.003942784387618303,0.11327290798118059,-0.008303671143949032,22.879684448242188,,,True,True,True,True,-93.68201100333496,30.001344300224574
8,23,0.09129769261804183,0.36298016162203994,0.5251637236749207,0.0,0.0,0.0,0.0,4164.4532773420215,6933.54803384468,0.18726183705030053,-0.0063715234753694006,0.07940222604791869,-0.007267275133450823,27.356599370308686,,,True,True,True,True,-97.08697240181988,30.628465406371795
8,38,1.3248018820840566,0.6297834786540357,0.9259195194008955,0.0,0.0,0.0,0.0,4181.94981341809,6954.312166128308,0.18346020590956869,-0.006400742291518213,0.0827552552439011,-0.007366719208135919,27.08919825599878,,,True,True,True,True,-84.37873170772602,30.480735499584487
8,40,0.9309792950864502,0.5856387636994012,0.8591965526234293,0.0,0.0,0.0,0.0,4184.619918964803,6971.669219363481,0.18221970395347853,-0.005683840344644864,0.09165620697568118,-0.007639995925302401,25.86142757718335,,,True,True,True,True,-82.69506031546844,30.349677190869617
9,39,1.9678627042897958,0.6832680263074984,1.0069412620948763,0.0,0.0,1.0069412620948763,0.0,4083.618905186653,6857.390372559428,0.19686428231852915,-0.006345472587824474,0.07148287173909292,-0.006996661789131053,27.367225497495383,,,True,True,False,True,-83.45992909175258,31.14851851344693
9,40,2.3720039644327704,0.7100712765010643,1.047614999961621,0.0,0.0,1.047614999961621,0.0,4095.034272328019,6865.214384948835,0.1976678471054356,-0.006177986833568738,0.07205204718207708,-0.007030661670883731,27.48753021279117,,,True,True,False,True,-82.61127978962114,31.079035730625886
9,41,1.7376658462201882,0.6659800522307845,0.9807314203119262,0.0,0.0,0.0,0.0,4110.2548828125,6875.646484375,0.19873927533626556,-0.00595467071980238,0.07281095380397633,-0.007075995206832886,27.647937774658203,,,True,True,True,True,-81.76414754700063,31.003012847927348
14,12,0.6368363929554216,0.5415741322739583,0.7927406899729272,0.0,0.0,0.0,0.0,3231.505468407646,6457.487600106746,0.6132766706869006,-0.005338138983624674,0.05892312233940689,-0.007756298816296692,27.315683054825058,,,True,True,True,True,-107.11843795354709,34.154115086683575
15,12,91.67929471835444,1.507495591771693,2.2734151456547416,1.507495591771693,0.0,2.2734151456547416,2.2734151456547416,3098.666761085391,6306.86854243651,0.8364576409458095,-0.005582592171368361,0.08647581296053573,-0.007379036241246695,26.195554786754656,,,False,True,False,False,-107.26084285532791,34.88099525293217
16,12,0.2412831204826497,0.44343372541398424,0.6453167717535011,0.0,0.0,0.0,0.0,2981.3078707642853,6135.423168666661,0.8288845162524012,-0.006702401155664006,0.11770856202669025,-0.006037630503797686,21.47326230298495,,,True,True,True,True,-107.40593193427212,35.607994428360705
16,15,19.42454974835467,1.0950361799197674,1.6360917125646814,1.0950361799197674,0.0,1.6360917125646814,0.0,2903.045247750357,6086.52523656562,0.7363377756714726,-0.007689766583830249,0.15773155353039653,-0.005915238383046528,14.951078742364189,,,False,True,False,True,-104.72341101549304,35.93585521463836
17,11,0.8743701460599052,0.5781192181239888,0.8478453626616524,0.0,0.0,0.0,0.0,2861.4011541604996,6067.874983459711,0.70936912833713,-0.007402686431561278,0.18933022165285157,-0.006060550747832849,12.654087612580042,,,True,True,True,True,-108.45082622571174,36.21078249132549
17,30,0.03916927640957559,0.3049123067721683,0.43891628777218256,0.0,0.0,0.0,0.0,2730.1959792003036,6000.695732340217,0.7917612596684194,-0.00625621445708191,0.25427985605938125,-0.005665236316261257,9.222212063526968,,,True,True,True,True,-91.07674626213272,37.36486036742411
18,30,0.6876164976563064,0.5502011652838015,0.8057394989150317,0.0,0.0,0.0,0.0,2759.6553747579455,5995.622501447797,0.906459440207982,-0.005988410575561431,0.26592100582520267,-0.005463983581826426,8.205855925611104,,,True,True,True,True,-91.06763611408827,38.101657759124784
19,15,23.897874108107413,1.1427998637855463,1.709579911938718,1.1427998637855463,0.0,1.709579911938718,0.0,2758.327317018062,5995.091512732208,0.9069097564533877,-0.005986039131865795,0.26580105212361044,-0.005476221943478521,8.16106673063041,,,False,True,False,True,-105.09904516225937,38.12592040143374
19,16,68.598825907417,1.420068870040477,2.137845804377736,1.420068870040477,0.0,2.137845804377736,2.137845804377736,2751.6870283186436,5992.4365691542625,0.9091613376804162,-0.005974181913387611,0.2652012836156493,-0.005537413751738995,7.937120755726937,,,False,True,False,False,-104.17410943445915,38.224157346508875
20,16,10.31697366983006,0.9612136929390197,1.4307057855543366,0.0,0.0,1.4307057855543366,0.0,2703.8778218217194,5972.520063906908,0.9249846578923098,-0.006100357062564399,0.24022176501530812,-0.0057703117359722,6.065348108029866,,,True,True,False,True,-104.29529111924175,38.95455626714988
21,14,0.6807930180425252,0.5490719776910657,0.8040377522925168,0.0,0.0,0.0,0.0,2696.547006521374,5961.571142219007,0.9276874214410782,-0.006185559171200339,0.2354294501117001,-0.005806663211675556,5.1934458386058395,,,True,True,True,True,-106.30233912448266,39.47699669551578
24,15,36.978712309535254,1.2503345672275314,1.8753529642288758,1.2503345672275314,0.0,1.8753529642288758,0.0,2768.0006059780717,6053.232705265284,0.9345954517357313,-0.00588530008142385,0.2710734613940161,-0.005286629281656019,8.94796306144417,,,False,True,False,True,-105.7765735165517,41.767171163001315
25,15,7.310188445994008,0.8953595217253862,1.3299340290525463,0.0,0.0,1.3299340290525463,0.0,2811.349609375,6175.8798828125,0.8471075892448425,-0.0065351612865924835,0.25470441811044303,-0.005099269561469555,7.739761829376221,,,True,True,False,True,-105.92051613952634,42.49296569793345
26,13,25.89307927767411,1.1618338164654511,1.7388903032858887,1.1618338164654511,0.0,1.7388903032858887,0.0,2613.615579199046,6349.2670612074435,0.7331219687325756,-0.00678157067641294,0.25509405826378884,-0.004118714783423627,6.104713034677843,,,False,True,False,True,-108.04105734774524,42.985250341600384
26,14,11.5178591575392,0.9832653926176274,1.4644955452181678,0.0,0.0,1.4644955452181678,0.0,2603.367218159139,6377.4713595584035,0.7126403586553351,-0.006712451857218582,0.25129825716639875,-0.004280846541909966,7.474442666927644,,,True,True,False,True,-107.05592282112295,43.10523713374607
27,13,0.8783484076398747,0.5786600964765846,0.8486617070253917,0.0,0.0,0.0,0.0,2639.1746239438653,6463.587075874209,0.5940536647103727,-0.005879417849527613,0.21473143233540393,-0.0055504571664499736,13.693368837120943,,,True,True,True,True,-108.21140876138337,43.70659505771587
27,14,0.8416484487143635,0.5735946611037516,0.8410173499494681,0.0,0.0,0.0,0.0,2665.4823549725115,6464.904410712421,0.5606581249739975,-0.005570115972851397,0.20193991157207353,-0.005825050687597866,13.973809520888608,,,True,True,True,True,-107.21618712313516,43.827661355282046
28,13,0.6588008408309662,0.5453703516138195,0.7984599179259669,0.0,0.0,0.0,0.0,2722.701367892325,6482.362061411142,0.3760736654512584,-0.005061922545678499,0.13509638675196578,-0.005956680338741194,11.222488842497114,,,True,True,True,True,-108.38538045363761,44.42656422369183
29,45,0.1604597049138911,0.40769329057742776,0.5918543320898032,0.0,0.0,0.0,0.0,2819.278469607234,6502.9672266840935,0.23147927736863494,-0.006934194363438451,0.092259354635464,-0.0058060089645124435,3.3698449632211123,,,True,True,True,True,-75.43691214786067,45.1450286836242
30,10,0.04058953045242372,0.30715773765582993,0.44224304829329153,0.0,0.0,0.0,0.0,2889.896942358464,6512.507436797023,0.22691080754157156,-0.007335300099551745,0.09649933547134273,-0.00585374629624269,2.023525945995061,,,True,True,True,True,-111.80007240500542,45.44218637303723
30,11,2.5103343940291336,0.718410837610103,1.0602794283686015,0.0,0.0,1.0602794283686015,0.0,2906.4995293840766,6509.309316724539,0.22969712619669735,-0.0072962477139668636,0.10168883237234815,-0.005943984224458632,1.9094208563692519,,,True,True,False,True,-110.78593407274506,45.58982569871065
30,12,0.01905044298269039,0.26283828015182975,0.37671864712122993,0.0,0.0,0.0,0.0,2910.836844459176,6500.3736916184425,0.23617201251909137,-0.007087521148690712,0.10928621390343231,-0.006085188260300356,2.1809531904145842,,,True,True,True,True,-109.76739055123781,45.72973000285765
30,13,2.8381172086841775,0.7368047515465371,1.0882274345393652,0.0,0.0,1.0882274345393652,0.0,2915.1741595342755,6491.438066512346,0.24264689884148538,-0.00687879458341456,0.11688359543451647,-0.00622639229614208,2.4524855244599166,,,True,True,False,True,-108.74465128966955,45.861858916569844
