y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
0,44,0.1258339219085084,0.3877809796424898,0.5621268895023662,0.0,0.0,0.0,0.0,4828.67138671875,8241.990234375,0.3553336262702942,-0.0023838216438889503,0.28027356661607894,-0.008580113761126995,11.021341323852539,,,True,True,True,True,-80.18559083056391,24.245295763244805
1,41,0.0052349133704104765,0.20142970995019732,0.2864745559390619,0.0,0.0,0.0,0.0,4824.3907063268125,8217.906353440136,0.37760543974582106,-0.0023612310248140034,0.29304919084654796,-0.00857934001538041,10.730250964777952,,,True,True,True,True,-82.4512576499623,25.206451065687208
1,42,0.0028136587685136886,0.17724666988119508,0.251143986384204,0.0,0.0,0.0,0.0,4825.67493493855,8225.131655529141,0.3709237682633102,-0.0023680083398005536,0.28921643047497786,-0.008579572143531777,10.81757973812637,,,True,True,True,True,-81.66162414041733,25.13054454650403
1,43,3.23841739038274e-06,0.043970026977225685,0.05982294646306446,0.0,0.0,0.0,0.0,4827.815234310925,8237.173366315663,0.35978807392530143,-0.002379303433897917,0.28282874019712567,-0.008579959009026084,10.96312214162026,,,True,True,True,True,-80.87343783709699,25.048662304158483
3,40,10.103917422191593,0.9570906353406802,1.4243905252077547,0.0,0.0,1.4243905252077547,0.0,4767.360529744998,8018.76810824126,0.16594634073430825,-0.00798658519283535,0.14578785642280045,-0.007059038628579373,3.9973641466144727,,,True,True,False,True,-83.09255602915408,26.7190815185379
4,34,43.38920395703464,1.2921972043315264,1.9400019110493996,1.2921972043315264,0.0,1.9400019110493996,0.0,4798.718499766663,7882.815792286769,0.1582135748990936,-0.007114902201449169,0.14408069603943038,-0.0070292847049486795,12.00739765302933,,,False,True,False,True,-87.90647882856446,27.744784470671114
4,35,2.026568424305535,0.6874181465361338,1.0132360441326511,0.0,0.0,1.0132360441326511,0.0,4797.332745393738,7885.486927641556,0.1589438742782363,-0.007056906541899721,0.1435521868132987,-0.006977241431847858,12.074184421795508,,,True,True,False,True,-87.08912570670567,27.710101751617348
4,40,293.68171611485747,1.916067541187621,2.90982684260051,1.916067541187621,0.0,2.90982684260051,2.90982684260051,4780.204840997234,7924.333626689389,0.1666698018234456,-0.0066037795261539856,0.13743216585125778,-0.0063760702073523134,12.065173798329852,,,False,True,False,False,-83.01578892021647,27.442686780086934
4,41,2.023363904080235,0.6871940873457384,1.0128961693214062,0.0,0.0,1.0128961693214062,0.0,4778.319778321311,7933.798901921138,0.16636263536929619,-0.006788594048101615,0.13712558542671746,-0.006347359184928791,11.32150418576748,,,True,True,False,True,-82.20464111249554,27.37050599944978
5,34,0.1127094695860906,0.3790809970015879,0.549152350908765,0.0,0.0,0.0,0.0,4804.782609052956,7751.746888756752,0.15817818156881458,-0.006953801156011963,0.1429762684876183,-0.007578172749582279,12.780055731898756,,,True,True,True,True,-87.87072192275036,28.472945899392986
