y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
3,45,0.16526107280342375,0.4101770029395135,0.5955653210223715,0.0,0.0,0.0,0.0,4497.978272702545,7821.7949430681765,0.14268362134055224,-0.007466930198617661,0.1564102524604631,-0.008552109286235066,11.903243023240066,,,True,True,True,True,-79.0862131273558,26.300941339256813
7,32,0.367792494899367,0.4836624375484885,0.7056430167816368,0.0,0.0,0.0,0.0,4113.530920106918,7282.622448977083,0.2846555120777339,-0.007340367800328096,0.2022429158353535,-0.0067593224009598885,13.937615791881399,,,True,True,True,True,-89.47731653894398,29.985059252826563
7,33,0.11755400775183832,0.382381685494403,0.5540737538460173,0.0,0.0,0.0,0.0,4116.184398807585,7287.219995610416,0.28874862333759665,-0.007323715203916947,0.20352096340264342,-0.006773312415575106,14.049976189780864,,,True,True,True,True,-88.63704337962564,29.962266486160733
7,34,0.771368273232087,0.5633834637938622,0.8256134069903452,0.0,0.0,0.0,0.0,4118.837624458596,7291.81710379757,0.29284134425688535,-0.0073070641955848,0.204798889088609,-0.006787301096029097,14.162325872403017,,,True,True,True,True,-87.79730202852312,29.932972295754148
8,34,0.8765012872313344,0.5784092072409242,0.8482830386836091,0.0,0.0,0.0,0.0,4115.106963889673,7217.859783731401,0.16339368587625813,-0.005892091545266709,0.11700491450716474,-0.007652052499629747,19.12549781758571,,,True,True,True,True,-87.759604890486,30.664623835916345
9,34,0.7822630351047065,0.5650135318477317,0.8280718791803315,0.0,0.0,0.0,0.0,4018.591231279075,7022.045377759263,0.17678445346120952,-0.006063849965823209,0.10525939317391646,-0.008317870339912048,31.732037004818267,,,True,True,True,True,-87.72122583052386,31.397222539499953
9,35,3.9537212283274594,0.7888808535856274,1.167461379039217,0.0,0.0,1.167461379039217,0.0,4025.8440201878548,7028.888137772679,0.1762292213525143,-0.00598795002659358,0.10573352267878945,-0.00826616973344585,31.015491204278078,,,True,True,False,True,-86.8670138458618,31.360691966058727
9,36,2.3028880570699983,0.7057589153778476,1.0410679593084775,0.0,0.0,1.0410679593084775,0.0,4033.097154945135,7035.73122408241,0.17567396276763247,-0.0059120464680830764,0.1062076747924796,-0.008214466661641495,30.29891123532434,,,True,True,False,True,-86.01364090778968,31.317543417040337
9,37,1.223193730773718,0.6195155208546388,0.9103873895119672,0.0,0.0,0.0,0.0,4043.976511232555,7045.995527250692,0.17484110136649633,-0.005798194749598196,0.10691888035419767,-0.00813691451927312,29.224075450307282,,,True,True,True,True,-85.16124477657755,31.26778884259356
9,38,10.006846302001865,0.955189192075912,1.4214783637625077,0.0,0.0,1.4214783637625077,0.0,4051.2296459898353,7052.838613560423,0.17428584278161452,-0.005722291191087692,0.10739303246788781,-0.008085211447468765,28.507495481353544,,,True,True,False,True,-84.30996226152313,31.211442013478894
9,39,172.1692795116258,1.7164653345825474,2.598363108079303,1.7164653345825474,0.0,2.598363108079303,2.598363108079303,4065.7355696558952,7066.524459883571,0.17317535208803747,-0.005570487693347559,0.10834131408645095,-0.007981807769198213,27.074369711859617,,,False,True,False,False,-83.45992909175258,31.14851851344693
9,40,0.18888814318266842,0.42162498447137897,0.6126784950741947,0.0,0.0,0.0,0.0,4076.614925943315,7076.788763051853,0.17234249068690133,-0.005456635974862678,0.10905251964816902,-0.007904255626829837,25.99953392684256,,,True,True,True,True,-82.61127978962114,31.079035730625886
10,37,82.43430801077928,1.4748451278667525,2.2227577664090648,1.4748451278667525,0.0,2.2227577664090648,2.2227577664090648,3954.521240234375,6760.3193359375,0.2096577137708664,-0.005831518676131964,0.10212831984539486,-0.008035444654524326,36.87214660644531,,,False,True,False,False,-85.0989184273321,31.999901278954354
10,38,0.0023595372994699377,0.1709348050603835,0.2419449338049415,0.0,0.0,0.0,0.0,3960.0336911678314,6789.673312937841,0.20587953056178776,-0.005882168613297267,0.10236180364551993,-0.00808484592274894,36.470306921517476,,,True,True,True,True,-84.23994326882766,31.94297881981263
10,40,21.952548135319624,1.1229852908197036,1.6790825490152894,1.1229852908197036,0.0,1.6790825490152894,0.0,3972.8963103294373,6858.167170133442,0.19706360959889935,-0.0060003539468596045,0.10290660907556669,-0.008200117642523708,35.53266395768151,1.0,0.875,True,True,True,True,-82.52598196232869,31.80922026040494
10,41,4.103946581232164,0.7949644732150103,1.1767277663786093,0.0,0.0,1.1767277663786093,0.0,3978.4087612628937,6887.5211471337825,0.1932854263898207,-0.006051003884024908,0.10314009287569176,-0.008249518910748321,35.13082427275367,0.75,0.75,True,True,False,True,-81.67127068926436,31.73242118028719
11,36,154.23240695390473,1.6780015266070092,2.5384608861011806,1.6780015266070092,0.0,2.5384608861011806,2.5384608861011806,3842.3044248074293,6614.6172986626625,0.23135014042327384,-0.007003938242803542,0.08249753283069501,-0.007286048123916089,33.257944729179144,,,False,True,False,False,-85.90343085371052,32.783506514328806
11,37,74.84418723155686,1.4457883945261443,2.177703520973352,1.4457883945261443,0.0,2.177703520973352,2.177703520973352,3847.136625248939,6617.619945511222,0.22769285280378426,-0.007002229562047546,0.08403431803466908,-0.007372790997912659,33.2208296218887,,,False,True,False,False,-85.03544765926623,32.73273365267753
22,16,0.5221697869375513,0.5198731511927394,0.7600695425886205,0.0,0.0,0.0,0.0,2356.8051061555743,5526.271788090467,0.64189628382519,-0.006878268325735348,0.16675902370750267,-0.005941208290565214,8.54589569196105,,,True,True,True,True,-104.54499555802948,40.413785204862805
22,44,5.417331230423494,0.8417593729767148,1.248072298174766,0.0,0.0,1.248072298174766,0.0,2362.519560260698,5569.802485756576,0.6367639600402981,-0.006889238263621422,0.16523901700312885,-0.005926289740532553,9.380177847109735,,,True,True,False,True,-77.55299254721605,40.2043694719341
22,45,8.502764820258541,0.9236715453447419,1.3732322573217202,0.0,0.0,1.3732322573217202,0.0,2365.6365442350507,5593.546571284533,0.6339645026127982,-0.006895221883397085,0.16440992004105975,-0.0059181523260889435,9.83524215593934,,,True,True,False,True,-76.60629571018997,40.088682628889885
23,8,0.36635267604101207,0.4832717850591344,0.7050564778894232,0.0,0.0,0.0,0.0,2364.5976156350225,5585.6323793157935,0.6348975957598668,-0.006893227470282426,0.1646862681240713,-0.005920864625114319,9.68356369715184,,,True,True,True,True,-112.27928203923813,40.12103457134283
