y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
1,40,23.225131302332592,1.1360973718766643,1.6992621144673952,1.1360973718766643,0.0,1.6992621144673952,0.0,4932.248217444867,8647.529122304171,0.5146243421738745,-0.0018952487959205122,0.3090888710359388,-0.007689326972261767,6.861979846138638,,,False,True,False,True,-83.2422317670809,25.276361281205556
1,41,0.07980393185201826,0.3530572824913854,0.5103949754659102,0.0,0.0,0.0,0.0,4937.406493775547,8649.663651518524,0.5180444152824748,-0.0018275334205535287,0.3064632554734316,-0.007588575251119778,7.008741409666982,,,True,True,True,True,-82.4512576499623,25.206451065687208
1,42,0.0617119915418109,0.3348453716232186,0.48332091413380396,0.0,0.0,0.0,0.0,4941.275293260813,8651.264586597681,0.5206095312696561,-0.001776745678181868,0.30449399685184153,-0.007513009658680403,7.1188152066170005,,,True,True,True,True,-81.66162414041733,25.13054454650403
2,39,16.45166492076021,1.0581991315017598,1.5794785429245408,1.0581991315017598,0.0,1.5794785429245408,0.0,4866.92099580355,8596.318716272712,0.4417595140357662,-0.0025445300675466243,0.30130869481659023,-0.008241659422534298,12.113592448873533,,,False,True,False,True,-83.96687782444533,26.06152360500981
2,41,3.2276877360445666,0.7565886501920568,1.1183100855787316,0.0,0.0,1.1183100855787316,0.0,4880.605872102082,8607.763040717691,0.4628650135350654,-0.002104462100644966,0.31067952144087924,-0.008181896844909886,11.532367826912377,,,True,True,False,True,-82.37043877933617,25.926275722414612
3,39,2.646262182978592,0.7262573520155963,1.0721990290692351,0.0,0.0,1.0721990290692351,0.0,4804.854535903782,8535.82041009143,0.32192125340225175,-0.005660547848632902,0.22258954766975816,-0.008276604423897993,12.410941037484008,,,True,True,False,True,-83.8981638456601,26.784357357478733
5,34,0.11423088572285166,0.3801295054778856,0.550715566567862,0.0,0.0,0.0,0.0,4702.765285525471,8180.439670000225,0.2642381027181955,-0.006888834142650069,0.22749705771343187,-0.008476627434120587,15.719948040394229,,,True,True,True,True,-87.87072192275036,28.472945899392986
5,35,1.9363573911871708,0.6810001179922929,1.00350183461191,0.0,0.0,1.00350183461191,0.0,4705.528146704659,8192.563549062237,0.2624398835188799,-0.006851201820662567,0.22644576828857224,-0.00847682933984828,15.846311941968452,,,True,True,False,True,-87.04625311462755,28.437896275911232
5,38,0.059351246029889386,0.33216564902575824,0.4793407680078891,0.0,0.0,0.0,0.0,4715.198490198702,8234.998571094126,0.25614590195152687,-0.0067194842074727035,0.22276612997499048,-0.008477536033964839,16.288600661602686,,,True,True,True,True,-84.57786786163854,28.294695419824503
5,39,0.8090261578815641,0.5689426072700762,0.8339985673029798,0.0,0.0,0.0,0.0,4719.3428478408605,8253.184678750113,0.2534485302786038,-0.006663034827244729,0.22118917077238642,-0.008477838897370304,16.47814952678891,,,True,True,True,True,-83.75715700504763,28.234321486458906
