y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
6,40,7.1151962892075895,0.8903867098345638,1.322333074743488,0.0,0.0,1.322333074743488,0.0,4530.026257771999,7439.130223667249,0.331519381783437,-0.006977199281815061,0.27340721141723334,-0.007962995601516809,8.67073226595312,,,True,True,False,True,-82.85822807374113,28.893878119386205
6,41,0.5617480952082047,0.5277566834656874,0.7719338082637869,0.0,0.0,0.0,0.0,4527.560166373849,7469.652616433799,0.34997395402751863,-0.006954400005390937,0.2775780771536168,-0.008045354240891811,8.182033543780562,,,True,True,True,True,-82.03305571721053,28.820168666994945
7,40,0.020157956945140755,0.2659158058564169,0.38125882219269963,0.0,0.0,0.0,0.0,4492.771085258573,7396.025174032897,0.29551252283158647,-0.009591685394589433,0.23405980464289544,-0.007514558524409409,9.395014392823214,,,True,True,True,True,-82.77736353993393,29.62125505156339
7,41,0.7362182210723771,0.5579965609215993,0.8174903451415015,0.0,0.0,0.0,0.0,4486.2838242426515,7409.059616453946,0.30384379150609675,-0.009757056616123805,0.2410149062269908,-0.007341331381972793,8.761599312943872,,,True,True,True,True,-81.94499744444016,29.54677707950043
7,42,0.04050024851479027,0.3070184354983331,0.44203664188853586,0.0,0.0,0.0,0.0,4487.045638553798,7414.409113891423,0.3080449398494238,-0.009613017167929172,0.2463887447667464,-0.007303141439457761,8.511816755795735,,,True,True,True,True,-81.11419493819182,29.465912091509825
7,44,0.3562059217946264,0.48048363937051225,0.7008706630667212,0.0,0.0,0.0,0.0,4505.070454269648,7409.15306982398,0.3082038556385669,-0.008592758281821489,0.2549211125873437,-0.00752106173601419,8.813040754350368,,,True,True,True,True,-79.45777388721666,29.285111541324614
11,14,25.60014859116706,1.1591139234551182,1.7347010770328604,1.1591139234551182,0.0,1.7347010770328604,0.0,4485.012174881995,6872.380579993129,0.19857985513817766,-0.00723380009299035,0.14717176319756842,-0.008664559757349366,18.224020056062727,,,False,True,False,True,-104.99958844530187,32.18999081274073
12,16,0.7062774762337076,0.5532444857626947,0.810326453043387,0.0,0.0,0.0,0.0,4419.154866337776,6833.169351860881,0.2966744989903418,-0.008224678196057766,0.11524146377276293,-0.008255174214710337,12.768878130213125,,,True,True,True,True,-103.38810170455315,33.10818214274563
13,15,28.261206143808504,1.1829692432324141,1.7714531378957878,1.1829692432324141,0.0,1.7714531378957878,0.0,4341.381915591657,6818.452320404351,0.46485977002248546,-0.007690554353814605,0.10229012409169859,-0.00786063388642333,11.828401035774732,,,False,True,False,True,-104.36860019004244,33.74584477263369
13,16,13.927251946686315,1.0225026672429685,1.5246730109565776,1.0225026672429685,0.0,1.5246730109565776,0.0,4328.5100389532745,6814.059348765761,0.49295366759224635,-0.007342670587860312,0.10357095549104824,-0.007881255330318027,11.744270158189465,,,False,True,False,True,-103.49414764496785,33.8385339475139
