y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
0,41,0.0277469539457638,0.28400796832264924,0.4079800130384625,0.0,0.0,0.0,0.0,4608.03564453125,7757.50439453125,0.4217589199542999,-0.002407178282737732,0.3220062546374322,-0.00834324024617672,8.838926315307617,,,True,True,True,True,-82.53073572734282,24.48828480198486
0,42,1.1479019606479262,0.6114607136620227,0.8982082881878889,0.0,0.0,0.0,0.0,4608.03564453125,7757.50439453125,0.4217589199542999,-0.002407178282737732,0.3220062546374322,-0.00834324024617672,8.838926315307617,,,True,True,True,True,-81.74757476556682,24.41319294294118
1,44,0.08823288160593143,0.36043590418642585,0.5213758360421473,0.0,0.0,0.0,0.0,4608.03564453125,7757.50439453125,0.4217589199542999,-0.002407178282737732,0.3220062546374322,-0.00834324024617672,8.838926315307617,,,True,True,True,True,-80.08680414284399,24.960826513504575
8,7,0.32907847074289154,0.4727068127008169,0.6891991431042962,0.0,0.0,0.0,0.0,4558.609298110008,7459.057187102735,0.31091800541616976,-0.0055977955078034825,0.22865386318066336,-0.009234132418328045,7.145206277091347,,,True,True,True,True,-110.43281865651942,29.17129718605541
8,10,21.86012302332434,1.1220096870614584,1.6775813627262313,1.1220096870614584,0.0,1.6775813627262313,0.0,4559.8718362264335,7428.859496852383,0.2721058104890517,-0.005875223985405853,0.2114789613860276,-0.009124988545647028,7.771052410773336,,,False,True,False,True,-107.97048054033453,29.568379836299286
9,6,0.19488576305121072,0.4243486979920267,0.6167520833924703,0.0,0.0,0.0,0.0,4559.774453248829,7400.955758137628,0.24282703546361972,-0.006534876189526528,0.19332492658588746,-0.00907320137201495,8.576978364404567,,,True,True,True,True,-111.41776354845177,29.742360982134365
9,9,0.9229616371606035,0.5845962193955982,0.8576225168252527,0.0,0.0,0.0,0.0,4544.145366333425,7335.080415010452,0.18854611944141197,-0.007421360954584344,0.16271259335546112,-0.009028339506443217,9.755647721714922,,,True,True,True,True,-108.94284441519926,30.162271172760395
9,10,0.8119789358499101,0.5693697524834658,0.8346429528302001,0.0,0.0,0.0,0.0,4532.5291416049,7315.903085708618,0.1795541509773102,-0.007371602285189738,0.15942022460119298,-0.009050795654502508,9.766563914832659,,,True,True,True,True,-108.11244580494818,30.289712820398286
9,42,0.0031443042939364165,0.18135028052235824,0.257129822284882,0.0,0.0,0.0,0.0,4500.124158138409,7206.381978679448,0.1683347550659846,-0.006572527961745678,0.1563556609323798,-0.00873757657676677,11.561933267748827,,,True,True,True,True,-80.91866410472794,30.920470832480316
10,4,0.006404154226278584,0.20997099084649737,0.29898344307552055,0.0,0.0,0.0,0.0,4546.0814653337,7338.276738166809,0.19004482849368287,-0.007429654329783375,0.1632613389249251,-0.00902459669612199,9.753828298358712,,,True,True,True,True,-113.23919610437166,30.144884290798064
11,7,2.77197907349622,0.7332345144879348,1.082801153904169,0.0,0.0,1.082801153904169,0.0,4487.403623394668,7154.548434361815,0.1703506537553494,-0.007344852696242299,0.15900970107627468,-0.008919800468049743,10.368746081687277,,,True,True,False,True,-110.92987482949643,31.32533337131809
12,45,0.16144621679637486,0.40820837651997766,0.5926238834176788,0.0,0.0,0.0,0.0,4396.03287743032,7078.191030569375,0.2175994055537558,-0.008438867431195263,0.11613407141844681,-0.007570612625173112,10.323933292209404,,,True,True,True,True,-78.01855736712832,32.81288218178513
13,43,0.002544882505323706,0.17361838983758243,0.24585486193033135,0.0,0.0,0.0,0.0,4359.7052853778005,7077.738488309085,0.33652130490827403,-0.0073426169158778976,0.08416954104666402,-0.007125435914048239,11.257158582899137,,,True,True,True,True,-79.63139980995746,33.74584477263369
13,44,10.059577784608134,0.9562239118109941,1.4230630711252403,0.0,0.0,1.4230630711252403,0.0,4358.43567584455,7079.202626124024,0.33133457594340143,-0.007745450995912506,0.08568762186993883,-0.007114761257582813,11.114224248129176,,,True,True,False,True,-78.75907300434109,33.64641942214822
13,45,0.08913612890605935,0.3611929351189951,0.5225028217119443,0.0,0.0,0.0,0.0,4357.1660663113,7080.666763938963,0.32614784697852883,-0.008148285075947115,0.08720570269321365,-0.0071040866011173875,10.971289913359215,,,True,True,True,True,-77.88901233805821,33.54028544263358
14,44,0.025383607301571024,0.27884711698216513,0.40035250408647327,0.0,0.0,0.0,0.0,4356.921506334096,7057.841341491789,0.35671001649461687,-0.007358995574122673,0.08209738377481543,-0.007089158191107003,11.326070926435932,,,True,True,True,True,-78.63503453709782,34.375231617979914
14,45,13.094043403734833,1.009590762953878,1.5048627133656196,1.009590762953878,0.0,1.5048627133656196,0.0,4358.843012668192,7062.922429077327,0.35459333611652255,-0.007023071554613125,0.08150530264824477,-0.007109378737851557,11.421667380825966,1.0,0.8333333333333334,True,True,True,True,-77.75706263757927,34.26804589591879
15,45,12.091721823407047,0.993163451059548,1.4796695218828702,0.0,0.0,1.4796695218828702,0.0,4296.26220703125,7063.91845703125,0.43042072653770447,-0.0057608094066381454,0.10465051229061947,-0.006341541651636362,13.482439994812012,,,True,True,False,True,-77.62264121290927,34.996046435489454
