y,x,SHI_max,MESH75_max,MESH95_max,MaxMESH75_1in,MaxMESH75_2in,MaxMESH95_1in,MaxMESH95_2in,z0C,z20C,llrh,laps,pwat,lap24,shear,reported_max_hail,reported_ave_hail,sev75,sigsev75,sev95,sigsev95,Longitude,Latitude
3,44,0.016156237467987323,0.2540658287980096,0.36378548719478326,0.0,0.0,0.0,0.0,4536.68830403313,8301.739071562886,0.22277147684928877,-0.006973514789636148,0.1996928199684816,-0.008753098355160915,12.502110118821292,,,True,True,True,True,-79.88421807331565,26.396731097567844
6,30,2.3221802657778015,0.7069728439675423,1.0429108321094007,0.0,0.0,1.0429108321094007,0.0,4444.214387148619,8039.46465960145,0.24709741678088903,-0.006345054544766526,0.13488166394336173,-0.007418731759116781,14.44690496311523,,,True,True,False,True,-91.16634846901033,29.279714747954493
6,31,3.382151455203703,0.7639095496585347,1.1294478109985402,0.0,0.0,1.1294478109985402,0.0,4444.214387148619,8039.46465960145,0.24709741678088903,-0.006345054544766526,0.13488166394336173,-0.007418731759116781,14.44690496311523,,,True,True,False,True,-90.33282671025843,29.270042879216067
9,42,6.16659509052117,0.864524946545043,1.2828233986264013,0.0,0.0,1.2828233986264013,0.0,4564.951792865992,7601.79835469462,0.2548871865659521,-0.0049106419039191,0.10658589891034816,-0.006086720268804413,16.14375566144372,,,True,True,False,True,-80.91866410472794,30.920470832480316
9,43,0.06517257878997824,0.338630086171917,0.4889438648786408,0.0,0.0,0.0,0.0,4569.155538856983,7627.18606485799,0.24709661419979057,-0.00495466048815274,0.10428261365216517,-0.006278513229645455,14.847302887828846,,,True,True,True,True,-80.07495963547528,30.831432424104765
10,42,0.21746332493431653,0.43403993669842894,0.6312524521109321,0.0,0.0,0.0,0.0,4409.6594093889,7434.919800013304,0.26480365526822425,-0.005585456617211548,0.1244640607501813,-0.007305883401727442,17.57060966701829,,,True,True,True,True,-80.8182531414529,31.64903659698773
22,42,10.704767934564584,0.9685478589842615,1.4419414277328537,0.0,0.0,1.4419414277328537,0.0,3728.582129403949,6726.17209738493,0.3739110929718663,-0.006186544497253976,0.16573415710921482,-0.006368535336562786,11.274559887038777,,,True,True,False,True,-79.45500444197042,40.413785204862805
26,20,0.21025479264748956,0.4310362808350574,0.6267572592289271,0.0,0.0,0.0,0.0,3442.4667164236307,6594.723969973624,0.4421711815521121,-0.008351758120170416,0.21272160336276802,-0.00578977761190913,11.385559177761024,,,True,True,True,True,-101.08271521843687,43.66495198009395
27,21,2.4901331189359492,0.7172160815322115,1.0584648119961437,0.0,0.0,1.0584648119961437,0.0,3295.868970990181,6562.117327302694,0.517879732651636,-0.00846474123129326,0.23974504126480364,-0.006085320266926431,13.09824421229132,,,True,True,False,True,-100.16579956291551,44.45935350054429
27,22,0.2899018080175226,0.46052356807862255,0.6709257138686375,0.0,0.0,0.0,0.0,3286.013618471101,6558.702210076153,0.5232942852890119,-0.00846902105450198,0.24150810613650767,-0.006107338801164985,13.082920031905815,,,True,True,True,True,-99.14924203253737,44.518458085854135
28,22,0.04031235525076216,0.3067244766275148,0.4416010869221446,0.0,0.0,0.0,0.0,3243.169921975583,6495.508878663182,0.5746589198242873,-0.008174584101169557,0.25358468154781966,-0.006127341216647153,12.866832593572326,,,True,True,True,True,-99.22721205038314,45.245691018052526
32,23,0.0005241306316191611,0.1253812848990447,0.1758726971672005,0.0,0.0,0.0,0.0,3144.702686935663,6200.787834048271,0.6085630981251597,-0.005490903860632557,0.16651431100322428,-0.00559457823420928,22.508728712971788,,,True,True,True,True,-98.48095185309555,48.19197246070313
33,9,0.08880801593920656,0.3609186440341483,0.5220944788938092,0.0,0.0,0.0,0.0,3185.8945908620954,6317.105250746012,0.4346131314523518,-0.0062678389785730815,0.13785766910854322,-0.005815701902847081,20.83539943047799,,,True,True,True,True,-113.50835747519116,47.41117194674192
5,30,0.8802566327614869,0.5789188458440999,0.8490522437113418,0.0,0.0,0.0,0.0,4380.874112479389,8152.186847920219,0.2652843477374821,-0.007167428082361482,0.1604944703687651,-0.007902035932443615,17.85446974146665,,,True,True,True,True,-91.17363928136845,28.54947921703207
6,31,0.021002880156335047,0.2681745833277021,0.3845920992354737,0.0,0.0,0.0,0.0,4468.430735945702,8005.647804866235,0.24150726183628043,-0.006903765506516872,0.13019430915888913,-0.007173349612912716,13.488428554284232,,,True,True,True,True,-90.33282671025843,29.270042879216067
6,33,0.1956863806445065,0.4247072300263442,0.6172883610445915,0.0,0.0,0.0,0.0,4466.519585418205,8014.357445671533,0.24426252392004244,-0.0069068406574063585,0.1316027623365239,-0.00718934730157154,13.570709966374125,,,True,True,True,True,-88.66669087170008,29.231368739068206
9,36,0.8410133647758026,0.5735054738355945,0.8408827730948746,0.0,0.0,0.0,0.0,4484.2875688150525,7489.1592149063945,0.26625088260743723,-0.005500486374190909,0.11678938538204796,-0.006891388554149576,16.813821317322436,,,True,True,True,True,-86.01364090778968,31.317543417040337
13,42,91.7904172995955,1.5078718148643433,2.273999045507999,1.5078718148643433,0.0,2.273999045507999,2.273999045507999,4187.18005333903,7052.486093868812,0.5287817631972302,-0.005564662282238213,0.08225357586337659,-0.006890224519897477,19.98715402466284,,,False,True,False,False,-80.50585235503216,33.8385339475139
15,43,0.016672711807033523,0.2557180927694637,0.36622042699441587,0.0,0.0,0.0,0.0,3727.635061137378,6893.6547956727445,0.5707975608482533,-0.006846961687964874,0.10112503160770822,-0.006560092866287448,10.249694007441576,,,True,True,True,True,-79.39708636836836,35.205685549553415
21,42,16.599176635387845,1.06014678120859,1.58247037665208,1.06014678120859,0.0,1.58247037665208,0.0,3599.521977023532,6754.7154482752085,0.37510350472272574,-0.007809972180841859,0.16912541277888768,-0.006779425362914537,12.065650133013454,,,False,True,False,True,-79.58110448987252,39.68447386696138
25,20,2.7760922185466175,0.7334585095864115,1.0831415737712409,0.0,0.0,1.0831415737712409,0.0,3549.6012559831142,6610.218482176463,0.3988974552582173,-0.007234296254997237,0.1960541165632389,-0.005703517719685654,9.322810213702422,,,True,True,False,True,-100.98701836062075,42.93624747640301
25,21,2.3330901207141377,0.7076557870189643,1.0439476528711251,0.0,0.0,1.0439476528711251,0.0,3543.988525390625,6609.716471354167,0.3994766076405843,-0.007366650116940339,0.19749918024506308,-0.005703049711883068,9.39380677541097,,,True,True,False,True,-99.99351331761208,43.001984380447944
